"Nombre del producto","URL de la imagen"
"Cama Sublime, Matrimonial, Extra Firme Smart,confort ortopédico","https://walmartgt.vtexassets.com/arquivos/ids/550716-500-auto?v=638563312909700000&amp;width=500&amp;height=auto&amp;aspect=true"
"Cama Master Bed tamaño matrimonial especial 3 en 1","https://walmartgt.vtexassets.com/arquivos/ids/402195-500-auto?v=638314473725770000&amp;width=500&amp;height=auto&amp;aspect=true"
"Cama Sublime, Individual, Extra Firme Smart,confort ortopédico","https://walmartgt.vtexassets.com/arquivos/ids/694189-500-auto?v=638685213451130000&amp;width=500&amp;height=auto&amp;aspect=true"
"Bolsa Verde Grande Reutilizable","https://walmartgt.vtexassets.com/arquivos/ids/503570-500-auto?v=638458873478230000&amp;width=500&amp;height=auto&amp;aspect=true"
"Cama Masterbed Matrimonial, Orthopremier confort ortopédico","https://walmartgt.vtexassets.com/arquivos/ids/553588-500-auto?v=638568438321600000&amp;width=500&amp;height=auto&amp;aspect=true"
"Resma de papel Chamex tamaño carta - 500 hojas","https://walmartgt.vtexassets.com/arquivos/ids/482153-500-auto?v=638423989638400000&amp;width=500&amp;height=auto&amp;aspect=true"
"Mesa plegable Hometrends color blanco de plástico","https://walmartgt.vtexassets.com/arquivos/ids/659394-500-auto?v=638663441526600000&amp;width=500&amp;height=auto&amp;aspect=true"
"Cama Masterbed Queen, Orthopremier confort ortopédico","https://walmartgt.vtexassets.com/arquivos/ids/565193-500-auto?v=638581362260870000&amp;width=500&amp;height=auto&amp;aspect=true"
"Cama Masterbed Superpremier confort suave, tamaño Matrimonial","https://walmartgt.vtexassets.com/arquivos/ids/402194-500-auto?v=638314473719170000&amp;width=500&amp;height=auto&amp;aspect=true"
"Mesa plegable mainstays de resina color negro","https://walmartgt.vtexassets.com/arquivos/ids/732962-500-auto?v=638721395039570000&amp;width=500&amp;height=auto&amp;aspect=true"
